Date,Open,High,Low,Close,Adj Close,Volume
09-Mar-22,0.7272,0.7338,0.72683,0.726792,0.726792,0
10-Mar-22,0.73191,0.736312,0.72891,0.73169,0.73169,0
11-Mar-22,0.73654,0.73657,0.73046,0.7366,0.7366,0
14-Mar-22,0.72957,0.729682,0.72276,0.72965,0.72965,0
15-Mar-22,0.7201,0.72267,0.71667,0.71987,0.71987,0
16-Mar-22,0.719042,0.72731,0.7181,0.7191,0.7191,0
17-Mar-22,0.728969,0.73894,0.728528,0.72888,0.72888,0
18-Mar-22,0.73816,0.741098,0.736279,0.7381,0.7381,0
21-Mar-22,0.741021,0.742512,0.73749,0.740999,0.740999,0
22-Mar-22,0.739459,0.745,0.73758,0.739579,0.739579,0
23-Mar-22,0.74634,0.749901,0.745079,0.74623,0.74623,0
24-Mar-22,0.7502,0.75266,0.74678,0.749918,0.749918,0
25-Mar-22,0.751117,0.75363,0.74963,0.751428,0.751428,0
28-Mar-22,0.751823,0.753977,0.746742,0.751823,0.751823,0
29-Mar-22,0.74995,0.751569,0.746219,0.74995,0.74995,0
30-Mar-22,0.751467,0.75362,0.750508,0.751467,0.751467,0
31-Mar-22,0.7503,0.75147,0.747139,0.7503,0.7503,0
01-Apr-22,0.749193,0.7527,0.74734,0.749193,0.749193,0
04-Apr-22,0.748649,0.755641,0.748391,0.748649,0.748649,0
05-Apr-22,0.75439,0.76607,0.75364,0.75439,0.75439,0
06-Apr-22,0.75857,0.7596,0.753477,0.75857,0.75857,0
07-Apr-22,0.750508,0.75126,0.74675,0.750508,0.750508,0
08-Apr-22,0.747848,0.7493,0.74272,0.747848,0.747848,0
11-Apr-22,0.74443,0.7461,0.741878,0.744651,0.744651,0
12-Apr-22,0.74151,0.7494,0.740012,0.741532,0.741532,0
13-Apr-22,0.7455,0.747496,0.739579,0.7455,0.7455,0
14-Apr-22,0.74519,0.746993,0.739902,0.74515,0.74515,0
15-Apr-22,0.741015,0.7418,0.73948,0.741015,0.741015,0
18-Apr-22,0.739382,0.7398,0.73515,0.739382,0.739382,0
19-Apr-22,0.735759,0.74001,0.73464,0.735759,0.735759,0
20-Apr-22,0.739399,0.745718,0.73757,0.739399,0.739399,0
21-Apr-22,0.7447,0.74569,0.73738,0.7447,0.7447,0
22-Apr-22,0.736111,0.737,0.725047,0.736111,0.736111,0
25-Apr-22,0.723694,0.723338,0.7136,0.723694,0.723694,0
26-Apr-22,0.71785,0.722872,0.71424,0.71785,0.71785,0
27-Apr-22,0.7146,0.719011,0.710369,0.7146,0.7146,0
28-Apr-22,0.71257,0.71613,0.70557,0.71257,0.71257,0
29-Apr-22,0.710884,0.718,0.7095,0.710884,0.710884,0
02-May-22,0.706539,0.70822,0.703408,0.706539,0.706539,0
03-May-22,0.7051,0.714102,0.7054,0.7051,0.7051,0
04-May-22,0.710379,0.71502,0.709139,0.710379,0.710379,0
05-May-22,0.72529,0.726528,0.708978,0.72529,0.72529,0
06-May-22,0.7121,0.7133,0.70638,0.7121,0.7121,0
09-May-22,0.7047,0.7047,0.69705,0.7047,0.7047,0
10-May-22,0.695739,0.6986,0.69128,0.695739,0.695739,0
11-May-22,0.6936,0.705189,0.693001,0.6936,0.6936,0
12-May-22,0.69275,0.6952,0.68447,0.69275,0.69275,0
13-May-22,0.687191,0.692521,0.686672,0.687191,0.687191,0
16-May-22,0.694618,0.69592,0.68757,0.694618,0.694618,0
17-May-22,0.697282,0.7043,0.69735,0.697282,0.697282,0
18-May-22,0.703284,0.704722,0.69826,0.703284,0.703284,0
19-May-22,0.6959,0.706829,0.69564,0.6959,0.6959,0
20-May-22,0.70415,0.7073,0.700476,0.70415,0.70415,0
23-May-22,0.706289,0.71257,0.70598,0.706289,0.706289,0
24-May-22,0.708898,0.71044,0.70592,0.708898,0.708898,0
25-May-22,0.71032,0.71194,0.703611,0.71032,0.71032,0
26-May-22,0.70894,0.7111,0.70582,0.70894,0.70894,0
27-May-22,0.709879,0.7166,0.7093,0.709879,0.709879,0
30-May-22,0.716281,0.7203,0.71583,0.716281,0.716281,0
31-May-22,0.71952,0.72034,0.715139,0.71952,0.71952,0
01-Jun-22,0.718262,0.723029,0.71561,0.718262,0.718262,0
02-Jun-22,0.71736,0.725789,0.714148,0.71736,0.71736,0
03-Jun-22,0.7269,0.72821,0.72069,0.7269,0.7269,0
06-Jun-22,0.720492,0.72338,0.719021,0.720492,0.720492,0
07-Jun-22,0.718861,0.72381,0.71578,0.718861,0.718861,0
08-Jun-22,0.72206,0.723442,0.71766,0.72206,0.72206,0
09-Jun-22,0.718649,0.719476,0.711501,0.718649,0.718649,0
10-Jun-22,0.709819,0.7139,0.70403,0.709819,0.709819,0
13-Jun-22,0.701828,0.703349,0.69244,0.701828,0.701828,0
14-Jun-22,0.69416,0.697,0.68764,0.69416,0.69416,0
15-Jun-22,0.68899,0.6958,0.688791,0.68899,0.68899,0
16-Jun-22,0.70169,0.703482,0.69453,0.70169,0.70169,0
17-Jun-22,0.70405,0.70402,0.68982,0.70405,0.70405,0
20-Jun-22,0.6953,0.69961,0.6927,0.6953,0.6953,0
21-Jun-22,0.69695,0.6995,0.6935,0.69695,0.69695,0
22-Jun-22,0.69618,0.69615,0.688222,0.69618,0.69618,0
23-Jun-22,0.690522,0.69262,0.686988,0.690522,0.690522,0
24-Jun-22,0.69035,0.695701,0.689042,0.69035,0.69035,0
27-Jun-22,0.694338,0.6949,0.690918,0.694338,0.694338,0
28-Jun-22,0.692252,0.696461,0.691381,0.692252,0.692252,0
29-Jun-22,0.69044,0.692008,0.6863,0.69044,0.69044,0
30-Jun-22,0.688047,0.691329,0.68543,0.688047,0.688047,0
01-Jul-22,0.68976,0.69035,0.676558,0.68976,0.68976,0
04-Jul-22,0.68158,0.689,0.679569,0.68158,0.68158,0
05-Jul-22,0.68738,0.689513,0.67654,0.68738,0.68738,0
06-Jul-22,0.67932,0.682449,0.67677,0.67932,0.67932,0
07-Jul-22,0.6786,0.684978,0.67653,0.6786,0.6786,0
08-Jul-22,0.6849,0.687351,0.67962,0.6849,0.6849,0
11-Jul-22,0.68458,0.6846,0.67179,0.68458,0.68458,0
12-Jul-22,0.674332,0.67786,0.671249,0.674332,0.674332,0
13-Jul-22,0.6747,0.68037,0.67283,0.6747,0.6747,0
14-Jul-22,0.67323,0.6787,0.66832,0.67323,0.67323,0
15-Jul-22,0.675489,0.68055,0.67203,0.675489,0.675489,0
18-Jul-22,0.681477,0.68542,0.67947,0.681477,0.681477,0
19-Jul-22,0.68102,0.690818,0.6803,0.68102,0.68102,0
20-Jul-22,0.689798,0.69301,0.68842,0.689798,0.689798,0
21-Jul-22,0.688738,0.6918,0.685989,0.688738,0.688738,0
22-Jul-22,0.69229,0.69753,0.68955,0.69229,0.69229,0
25-Jul-22,0.690469,0.696476,0.688378,0.690469,0.690469,0
26-Jul-22,0.69512,0.698324,0.692348,0.69512,0.69512,0
27-Jul-22,0.694739,0.695894,0.691611,0.694739,0.694739,0
28-Jul-22,0.69949,0.701607,0.695739,0.69949,0.69949,0
29-Jul-22,0.700084,0.70315,0.69144,0.700084,0.700084,0
01-Aug-22,0.697122,0.70465,0.697122,0.697122,0.697122,0
02-Aug-22,0.70239,0.70306,0.691482,0.70239,0.70239,0
03-Aug-22,0.68903,0.694541,0.68871,0.68903,0.68903,0
04-Aug-22,0.6939,0.699105,0.69362,0.6939,0.6939,0
05-Aug-22,0.69592,0.69747,0.68723,0.69592,0.69592,0
08-Aug-22,0.69025,0.70084,0.689931,0.69025,0.69025,0
09-Aug-22,0.69877,0.699496,0.696602,0.69877,0.69877,0
10-Aug-22,0.695701,0.7103,0.69477,0.695701,0.695701,0
11-Aug-22,0.707814,0.7136,0.70638,0.707814,0.707814,0
12-Aug-22,0.71029,0.712911,0.70863,0.71029,0.71029,0
15-Aug-22,0.711668,0.712418,0.70121,0.711668,0.711668,0
16-Aug-22,0.702,0.7041,0.69922,0.702,0.702,0
17-Aug-22,0.70194,0.7026,0.69121,0.70194,0.70194,0
18-Aug-22,0.69304,0.697107,0.68995,0.69304,0.69304,0
19-Aug-22,0.69112,0.692,0.68596,0.69112,0.69112,0
22-Aug-22,0.687711,0.69236,0.68633,0.687711,0.687711,0
23-Aug-22,0.68787,0.696209,0.68571,0.68787,0.68787,0
24-Aug-22,0.6923,0.695372,0.68798,0.6923,0.6923,0
25-Aug-22,0.690799,0.6993,0.69031,0.690799,0.690799,0
26-Aug-22,0.696398,0.700599,0.69152,0.696398,0.696398,0
29-Aug-22,0.686691,0.692713,0.68419,0.686691,0.686691,0
30-Aug-22,0.690751,0.695797,0.68599,0.690751,0.690751,0
