Date,Relative_interest_rate,Open,High,Low,Close,Adj Close,AU_interest_rate,US_interest_rate
Dec-19,-1.17,0.6767,0.703274,0.67648,0.70014,0.70014,0.75,1.63
Jan-20,-1.17,0.701508,0.7045,0.66836,0.670826,0.670826,0.75,1.63
Feb-20,-1.17,0.670871,0.6775,0.6443,0.65802,0.65802,0.75,1.63
Mar-20,0.48,0.65806,0.66835,0.552,0.616899,0.616899,0.25,0.13
Apr-20,0.48,0.61401,0.65696,0.59817,0.655501,0.655501,0.25,0.13
May-20,0.48,0.64959,0.66836,0.637328,0.66335,0.66335,0.25,0.13
Jun-20,0.48,0.665921,0.704077,0.665921,0.687191,0.687191,0.25,0.13
Jul-20,0.48,0.69005,0.722909,0.68786,0.720368,0.720368,0.25,0.13
Aug-20,0.48,0.72026,0.73999,0.707729,0.7373,0.7373,0.25,0.13
Sep-20,0.48,0.73811,0.7413,0.7007,0.71436,0.71436,0.25,0.13
Oct-20,0.48,0.71675,0.7245,0.70046,0.70376,0.70376,0.25,0.13
Nov-20,-0.30,0.70364,0.741,0.69934,0.740028,0.740028,0.1,0.13
Dec-20,-0.30,0.735971,0.77414,0.73436,0.768929,0.768929,0.1,0.13
Jan-21,-0.30,0.77718,0.82076,0.759301,0.764409,0.764409,0.1,0.13
Feb-21,-0.30,0.762062,0.80069,0.75667,0.787,0.787,0.1,0.13
Mar-21,-0.30,0.775368,0.7849,0.756453,0.76088,0.76088,0.1,0.13
Apr-21,-0.30,0.75944,0.78182,0.75332,0.777762,0.777762,0.1,0.13
May-21,-0.30,0.7719,0.789391,0.767748,0.77101,0.77101,0.1,0.13
Jun-21,-0.30,0.77441,0.77749,0.747887,0.75136,0.75136,0.1,0.13
Jul-21,-0.30,0.74953,0.75986,0.72898,0.73961,0.73961,0.1,0.13
Aug-21,-0.30,0.739601,0.742721,0.71073,0.729123,0.729123,0.1,0.13
Sep-21,-0.30,0.732,0.7529,0.71783,0.718,0.718,0.1,0.13
Oct-21,-0.30,0.72288,0.755572,0.719378,0.75316,0.75316,0.1,0.13
Nov-21,-0.30,0.752089,0.76374,0.70674,0.71458,0.71458,0.1,0.13
Dec-21,-0.30,0.71267,0.72786,0.7004,0.72498,0.72498,0.1,0.13
Jan-22,-0.30,0.725111,0.7314,0.69686,0.6998,0.6998,0.1,0.13
Feb-22,-2.80,0.70659,0.72838,0.70347,0.718649,0.718649,0.1,0.38
Mar-22,-2.80,0.726111,0.753977,0.71667,0.7503,0.7503,0.1,0.38
Apr-22,-7.80,0.749193,0.76607,0.70557,0.710884,0.710884,0.1,0.88
May-22,-3.66,0.710884,0.726528,0.68447,0.71952,0.71952,0.35,1.63
Jun-22,-1.80,0.718262,0.72821,0.68543,0.688047,0.688047,0.85,2.38
Jul-22,-0.76,0.68976,0.70651,0.66832,0.700084,0.700084,1.35,2.38
Aug-22,-0.69,0.697122,0.7136,0.68419,0.68574,0.68574,1.85,3.13
